restaurant_name,city,zip_code,phone,instagram_handle,followers,posts,bio,website,status
QUBA RESTAURANT,SAN FRANCISCO,94110,+1 415-826-4158,,,,,NOT_FOUND,NOT_FOUND
NEMO,NEW YORK,10003,+1 212-477-2124,,,,,NOT_FOUND,NOT_FOUND
ASIENTO,SAN FRANCISCO,94110,+1 415-829-4158,,,,,NOT_FOUND,NOT_FOUND
49ERS MARKET,SAN FRANCISCO,94110,+1 415-282-7791,,,,,NOT_CHECKED,NOT_CHECKED
BERNARD UHFELDER NEWSTAND,NEW YORK,10003,+1 212-673-5736,,,,,NOT_CHECKED,NOT_CHECKED
RITUAL COFFEE ROASTERS,SAN FRANCISCO,94110,+1 415-641-1011,@ritualcoffee,60600,,Coffee roasters,,FOUND
COCOA GRINDER,NEW YORK,10003,un,,,,,NOT_FOUND,NOT_FOUND
DUNKIN,NEW YORK,10003,+1 646-678-4137,,,,,NOT_CHECKED,NOT_CHECKED
WALGREENS,SAN FRANCISCO,94110,+1 415-647-1397,,,,,NOT_CHECKED,NOT_CHECKED
VESELKA,NEW YORK,10003,+1 212-228-2122,@veselkanyc,42700,4445,Ukrainian Soul Food NYC,linktr.ee/veselkanyc,FOUND
Vish - Vegetarian Hummus,New York,10003,+1 212-420-5999,,,,,NOT_FOUND,NOT_FOUND
DELI 23,SAN FRANCISCO,94110,+1 415-642-3500,,,,,NOT_FOUND,NOT_FOUND
BUTTERFIELD 9TH FLOOR COFFEE BAR,NEW YORK,10003,un,,,,,NOT_FOUND,NOT_FOUND
Food Emporium,NEW YORK,10003,+1 212-353-3840,,,,,NOT_CHECKED,NOT_CHECKED
Gem Bing Shop,New York,10003,un,,,,,NOT_FOUND,NOT_FOUND
MERCHANTS HOUSE MUSEUM,NEW YORK,10003,+1 212-777-2127,,,,,NOT_CHECKED,NOT_CHECKED
Sushi Hon,SAN FRANCISCO,94110,+1 415-525-4527,,,,,NOT_FOUND,NOT_FOUND
ELEGANT AFFAIRS,NEW YORK,10003,+1 212-991-0078,,,,,NOT_CHECKED,NOT_CHECKED
HAQUE CONVENIENCE,NEW YORK,10003,+1 212-777-2127,,,,,NOT_CHECKED,NOT_CHECKED
HAMPTON CREEK,SAN FRANCISCO,94110,+1 858-349-8583,,,,,NOT_FOUND,NOT_FOUND
ISE JAPANESE RESTAURANT,NEW YORK,10003,+1 212-228-2122,,,,,NOT_FOUND,NOT_FOUND
The Little Chihuahua MeXican Restaurant,SAN FRANCISCO,94110,+1 415-355-9144,,,,,NOT_FOUND,NOT_FOUND
The Cellar,New York,10003,+1 212-466-3340,,,,,NOT_FOUND,NOT_FOUND
BOCCE USQ,NEW YORK,10003,+1 212-677-7818,,,,,NOT_FOUND,NOT_FOUND
SHEFFIELD CONVALESCENT HOSPITAL,SAN FRANCISCO,94110,+1 415-647-4156,,,,,NOT_CHECKED,NOT_CHECKED
BOWERY ELECTRIC,NEW YORK,10003,+1 212-228-0228,,,,,NOT_FOUND,NOT_FOUND
THANH TAM II RESTAURANT,SAN FRANCISCO,94110,+1 415-252-4152,,,,,NOT_FOUND,NOT_FOUND
HOME HEALTH MANAGEMENT,NEW YORK,10003,+1 212-420-2124,,,,,NOT_CHECKED,NOT_CHECKED
SECOND AVENUE SERVICE STATION,NEW YORK,10003,+1 212-979-7000,,,,,,NOT_CHECKED
Chop t,NEW YORK,10003,+1 646-336-5523,@choptsalad,126K,3175,Chopt Creative Salad Co. - Reimagining salads,choptsalad.com,FOUND
KIMURA,NEW YORK,10003,+1 212-598-1188,,,,,,NOT_FOUND
ROAMIN CANNOLI,San Francisco,94110,+1 650-483-5468,,,,,,NOT_FOUND
YUAN NOODLE,NEW YORK,10003,,,,,,,NOT_FOUND
GABRIELLA S NEW YORK CITY PIZZA,SAN FRANCISCO,94110,+1 415-874-9261,,,,,,NOT_FOUND
Mission Preparatory School,SAN FRANCISCO,94110,+1 415-508-9626,,,,,,NOT_CHECKED
EL RINCONCITO NICARAGUENSE,SAN FRANCISCO,94110,+1 415-643-4620,,,,,,NOT_FOUND
COOPER SQUARE,NEW YORK,10003,+1 212-375-9195,,,,,,NOT_FOUND
PANGEA RESTAURANT,NEW YORK,10003,+1 212-995-0900,,,,,,NOT_FOUND
M2M MART,NEW YORK,10003,+1 212-353-2123,,,,,,NOT_FOUND
VILLAGE CHILD DEVELOPMENT CENTER,NEW YORK,10003,+1 212-260-7440,,,,,,NOT_CHECKED
PEN AND BRUSH INC.,NEW YORK,10003,+1 914-937-9149,,,,,,NOT_CHECKED
KATI THAI,NEW YORK,10003,+1 212-533-2125,,,,,,NOT_FOUND
AMC THEATRES,NEW YORK,10003,+1 212-982-0400,,,,,,NOT_CHECKED
BAKERY (THE),SAN FRANCISCO,94110,,,,,,,NOT_FOUND
Luna s Coffee House,SAN FRANCISCO,94110,+1 415-710-3066,,,,,,NOT_FOUND
St George Academy,NEW YORK,10003,+1 212-473-3323,,,,,,NOT_CHECKED
EL METATE RESTAURANT,SAN FRANCISCO,94110,+1 415-641-7209,,,,,,NOT_FOUND
AMIT HOTEL,SAN FRANCISCO,94110,+1 415-431-4154,,,,,,NOT_CHECKED
LIN HIBACHI EXPRESS,New York,10003,,,,,,,NOT_FOUND
Evil Eye,SAN FRANCISCO,94110,+1 415-814-3779,,,,,,NOT_FOUND
HIBACHI NOODLE SOUP AND SUSHI,NEW YORK,10003,+1 212-388-9855,,,,,,NOT_FOUND
L.A. BURDICK CHOCOLATES,NEW YORK,10003,+1 212-796-2127,@burdickchocolate,51.5K,1279,38 years handcrafting artisan chocolates,burdickchocolate.com,FOUND
Proto s Pizza,NEW YORK,10003,+1 212-432-4044,,,,,,NOT_FOUND
PANYA/THE BARREL,NEW YORK,10003,+1 212-598-2125,,,,,,NOT_FOUND
I LOUNGE,NEW YORK,10003,,,,,,,NOT_FOUND
FAHRER M CATERERS,NEW YORK,10003,+1 212-741-1172,,,,,,NOT_FOUND
SUGARFISH,New York,10003,+1 347-705-8100,@sugarfishsushi,13,0,,,EMPTY_PROFILE
CAFE DE LA MISSION,SAN FRANCISCO,94110,,,,,,,NOT_FOUND
mukdhara,new york,10003,+1 718-565-7258,,,,,,NOT_FOUND
ABC HOME FURNISHINGS INC,NEW YORK,10003,+1 212-473-2124,,,,,,NOT_CHECKED
Corkbuzz,NEW YORK,10003,+1 646-873-6071,@corkbuzzwine,16.3K,1930,Woman-owned NYC Wine Bar by Laura Maniec,youtu.be/cV-T1u4St2M,FOUND
Wholesome Bakery,SAN FRANCISCO,94110,+1 415-343-5414,,,,,,NOT_FOUND
CATHEDRALE RESTAURANT,NEW YORK,10003,+1 212-888-1093,,,,,,NOT_FOUND
NEW YORK UNIVERSITY,NEW YORK,10003,+1 212-995-3162,,,,,,NOT_CHECKED
CHEN S EXPRESS KITCHEN,NEW YORK,10003,,,,,,,NOT_FOUND
BIRYANI FACTORY,NEW YORK,10003,,,,,,,NOT_FOUND
JUICY LUCYS,NEW YORK,10003,,,,,,,NOT_FOUND
VAN LEEUWEN ARTISAN ICE CREAM,New York,10003,+1 646-476-3865,@vanleeuwenicecream,259K,3091,Delicious ice cream made from scratch,vanleeuwenicecream.com,FOUND
CITY STORE,SAN FRANCISCO,94110,+1 415-970-4159,,,,,,NOT_FOUND
XI AN FAMOUS FOODS,NEW YORK,10003,+1 212-786-2068,@xianfoods,84.6K,1243,Hand-pulled noodles and spicy cumin lamb,xianfoods.com,FOUND
West of Pecos,SAN FRANCISCO,94110,+1 415-252-7000,,,,,,NOT_FOUND
Papaya Dog,NEW YORK,10003,,,,,,,NOT_FOUND
GEORGE R MOSCONE ELEMENTARY SCHOOL,SAN FRANCISCO,94110,+1 415-695-4156,,,,,,NOT_CHECKED
Plant Food + Wine,New York,10003,+1 212-658-1948,,,,,,NOT_FOUND
ABC CARPET & HOME,NEW YORK,10003,,,,,,,NOT_CHECKED
SPICE,NEW YORK,10003,+1 212-253-2742,,,,,,NOT_FOUND
CORONITAS,SAN FRANCISCO,94110,+1 415-285-4555,,,,,,NOT_FOUND
Nyu Law School,Ny,10003,+1 212-998-6498,,,,,,NOT_CHECKED
SZECHUAN MOUNTAIN HOUSE,NEW YORK,10003,+1 917-388-3866,,,,,,NOT_FOUND
AZIZA CAFE HOOKAH LOUNGE,NEW YORK,10003,+1 212-777-2127,,,,,,NOT_FOUND
TEETH SF,SAN FRANCISCO,94110,+1 415-285-4152,,,,,,NOT_FOUND
N Y DISCOUNT,NEW YORK,10003,+1 212-982-2129,,,,,,NOT_CHECKED
ASTORIA BIER & CHEESE,NEW YORK,10003,+1 718-545-7185,,,,,,NOT_FOUND
FRONT CAFE,SAN FRANCISCO,94110,+1 415-437-4154,,,,,,NOT_FOUND
GALLARDOS MEXICAN RESTAURANT,SAN FRANCISCO,94110,+1 415-436-9387,,,,,,NOT_FOUND
PS 40 Augustus Saint Gaudens School,NEW YORK,10003,+1 212-475-5500,,,,,,NOT_CHECKED
Upfordayz Coffee,SAN FRANCISCO,94110,,,,,,,NOT_FOUND
Sly FoX,NEW YORK,10003,+1 212-614-3283,,,,,,NOT_FOUND
RISE AND GRIND COFFEE HOUSE,SAN FRANCISCO,94110,+1 415-800-8279,,,,,,NOT_FOUND
NYU EATS AT THIRD NORTH,NEW YORK,10003,,,,,,,NOT_CHECKED
HI LO BBQ,SAN FRANCISCO,94110,+1 415-874-9921,,,,,,NOT_FOUND
EL GALLO GIRO,SAN FRANCISCO,94110,+1 415-240-1224,,,,,,NOT_FOUND
MIXT GREENS,San Francisco,94110,+1 415-296-8009,@mixt,25.6K,1422,Sustainably-sourced salads and warm bowls,order.mixt.com,FOUND
SEALAND TRADING,SAN FRANCISCO,94110,+1 415-282-4152,,,,,,NOT_CHECKED
MISSION PICNIC,SAN FRANCISCO,94110,+1 415-735-3080,,,,,,NOT_FOUND
LA PALMA MEXICATESSEN,SAN FRANCISCO,94110,+1 415-647-1500,@lapalmasf,90,3,Traditional Mexican food for almost 60 years,lapalmasf.com,FOUND
THE BELFRY,NEW YORK,10003,+1 212-473-2124,,,,,,NOT_FOUND
DURDEN,NEW YORK,10003,,,,,,,NOT_FOUND
TARTINE BAKERY,SAN FRANCISCO,94110,+1 415-487-4154,@tartinebakery,479K,2819,Tartine - Bread and more,tartinebakery.com,FOUND
MISSIONS KITCHEN,SAN FRANCISCO,94110,+1 415-648-4156,,,,,,NOT_FOUND
LA BREAKFAST CLUB,NEW YORK,10003,,,,,,,NOT_FOUND
COYOTE UGLY SALOON,NEW YORK,10003,+1 212-477-4431,,,,,,NOT_FOUND
MARKET AT PALLADIUM,NEW YORK,10003,,,,,,,NOT_FOUND
EMMY S SPAGHETTI SHACK,SAN FRAN,94110,+1 415-206-2086,,,,,,NOT_FOUND
BOBO S BISTRO,SAN FRANCISCO,94110,+1 415-658-7274,,,,,,NOT_FOUND
GALANT,SAN FRANCISCO,94110,+1 415-552-4155,,,,,,NOT_FOUND
UNION SQUARE ACADEMY FOR HEALTH SCIENCES,NEW YORK,10003,+1 212-253-2122,,,,,,NOT_CHECKED
Bryant Elementary School,SAN FRANCISCO,94110,+1 415-695-5780,,,,,,NOT_CHECKED
BLANK STREET,NEW YORK,10003,,@blankstreet,157K,353,Blank Street Coffee,blankstreet.com,FOUND
FRJTZ,SAN FRANCISCO,94110,+1 415-863-4158,,,,,,NOT_FOUND
LOADED CHICK N TENDERS,SAN FRANCISCO,94110,,,,,,,NOT_FOUND
IHOP,NEW YORK,10003,+1 212-388-1499,,,,,,NOT_FOUND
RAI RAI KEN,NEW YORK,10003,+1 212-477-7030,,,,,,NOT_FOUND
98 FAVOR TASTE,NEW YORK,10003,,,,,,,NOT_FOUND
UKRAINIAN EAST VILLAGE RES,NEW YORK,10003,+1 212-614-2126,,,,,,NOT_FOUND
CHINA 8 CHINESE TAKE OUT,NEW YORK,10003,,,,,,,NOT_FOUND
JULES BISTRO,NEW YORK,10003,+1 212-477-5560,,,,,,NOT_FOUND
Lotus Garden Vietnamese Cuisine,SAN FRANCISCO,94110,+1 415-282-9088,,,,,,NOT_FOUND
BOWLMOR LANES,NEW YORK,10003,,,,,,,NOT_CHECKED
LA MEXICANA BAKERY,San Francisco,94110,+1 415-648-2633,,,,,,NOT_FOUND
HAL JR BAR BQ,San Francisco,94110,+1 917-499-5485,,,,,,NOT_FOUND
District Tea,San Francisco,94110,+1 415-638-6134,,,,,,NOT_FOUND
LAZY LLAMA,NEW YORK,10003,,,,,,,NOT_FOUND
MALAIMARKE RESTAURANT,NEW YORK,10003,+1 212-777-2127,,,,,,NOT_FOUND
SALVATION ARMY REHAB CENTER,SAN FRANCISCO,94110,,,,,,,NOT_CHECKED
113 FARM,NEW YORK,10003,+1 212-228-2122,,,,,,NOT_FOUND
WYLL CAFE,NEW YORK,10003,+1 212-777-2127,,,,,,NOT_FOUND
Jiang Diner,NEW YORK,10003,+1 646-484-5999,,,,,,NOT_FOUND
OLD DEVIL MOON,SAN FRANCISCO,94110,,,,,,,NOT_FOUND
OIJI,NEW YORK,10003,+1 646-767-9050,,,,,,NOT_FOUND
NYU Hospital for Joint Diseases,New York,10003,,,,,,,NOT_CHECKED
CHICOS GRILL,SAN FRANCISCO,94110,+1 415-970-0375,,,,,,NOT_FOUND
HUERTAS,NEW YORK,10003,+1 646-361-6463,@huertasnyc,6634,1524,Spanish Restaurant - Thanks for the memories,huertasnyc.com,FOUND
CAFE TABOO,SAN FRANCISCO,94110,+1 415-341-4153,,,,,,NOT_FOUND
ALL STAR CANDY,SAN FRANCISCO,94110,+1 415-932-4159,,,,,,NOT_FOUND
BASA SEAFOOD EXPRESS,SAN FRANCISCO,94110,+1 415-550-4155,,,,,,NOT_FOUND
CARDOZO SCHOOL OF LAW,NEW YORK,10003,,,,,,,NOT_CHECKED
FILLMORE THE,NEW YORK,10003,+1 212-777-2127,,,,,,NOT_FOUND
CLUB MALIBU,SAN FRANCISCO,94110,+1 415-954-2762,,,,,,NOT_CHECKED
EL DIABLITO TAQUERIA,NEW YORK,10003,+1 646-692-9268,,,,,,NOT_FOUND
CVS PHARMACY,NEW YORK,10003,+1 212-255-0293,,,,,,NOT_CHECKED
ABRACO,NEW YORK,10003,+1 212-388-2123,,,,,,NOT_FOUND
La Corneta,SAN FRANCISCO,94110,+1 415-643-7001,,,,,,NOT_FOUND
SAMYS LIQUOR GROCERIES,SAN FRANCISCO,94110,+1 415-824-4158,,,,,,NOT_CHECKED
ARTISTS 4 IRELAND,NEW YORK,10003,+1 212-260-4422,,,,,,NOT_CHECKED
ASIA DE CUBA,NEW YORK,10003,+1 212-726-7755,,,,,,NOT_FOUND
JOHNSONS GUEST HOUSE,SAN FRANCISCO,94110,+1 415-550-4155,,,,,,NOT_CHECKED
SMILE BBQ,SAN FRANCISCO,94110,+1 415-285-4152,,,,,,NOT_FOUND
LA CORNETA,SAN FRANCISCO,94110,+1 415-826-2336,,,,,,NOT_FOUND
CECILIAS PIZZA RESTAURANT,SAN FRANCISCO,94110,+1 415-821-4158,,,,,,NOT_FOUND
SOUTHERN PACIFIC BREWING,SAN FRANCISCO,94110,+1 415-341-0152,@southernpacificbrewing,2232,101,Brewery in SF Mission District,southernpacificbrewing.com,FOUND
A & A Food Market,NEW YORK,10003,,,,,,,NOT_FOUND
YOUTH SPEAKS,SAN FRANCISCO,94110,+1 415-255-9035,,,,,,NOT_CHECKED
REGAL UNION SQUARE STADIUM 14,NEW YORK,10003,,,,,,,NOT_CHECKED
L EXPRESS,NEW YORK,10003,+1 212-254-2122,,,,,,NOT_FOUND
NANOOSH,NEW YORK,10003,+1 212-387-2123,,,,,,NOT_FOUND
BLUESTONE LANE COFFEE SHOPS,NEW YORK,10003,+1 718-374-6858,@bluestonelane,127K,3838,Internationally Acclaimed Coffee Roaster,linktr.ee/bluestonelane_,FOUND
ETCETERA WINE BAR,SAN FRANCISCO,94110,+1 415-926-5477,,,,,,NOT_FOUND
WALGREENS,NEW YORK,10003,+1 212-677-0214,,,,,,NOT_CHECKED
BERNAL HEIGHTS PIZZERIA,SAN FRANCISCO,94110,+1 415-400-4154,,,,,,NOT_FOUND
RED CAFE,SAN FRANCISCO,94110,+1 415-282-4152,,,,,,NOT_FOUND
HAKATA HOT POT NYC,NEW YORK,10003,+1 212-598-2125,,,,,,NOT_FOUND
EVERGREEN GARDEN,SAN FRANCISCO,94110,+1 415-621-4156,,,,,,NOT_FOUND
FACTORY TAMAL,NEW YORK,10003,+1 347-659-7098,,,,,,NOT_FOUND
BOWLLIN,NEW YORK,10003,,,,,,,NOT_FOUND
PHIL STEAKS,New York,10003,+1 917-584-0540,,,,,,NOT_FOUND
PUDGIES NATHANS ARTHUR TREACHERS,NEW YORK,10003,+1 212-777-2127,,,,,,NOT_FOUND
SAN FRANCISCO ADULT RESIDENTIAL FACILITY,SAN FRANCISCO,94110,+1 415-206-6300,,,,,,NOT_CHECKED
Little Skips Cafe At Three Jewels,New York,10003,+1 646-964-5736,,,,,,NOT_FOUND
MISSION PLAZA APARTMENTS,SAN FRANCISCO,94110,+1 415-864-4158,,,,,,NOT_CHECKED
JESSIES SWEETS,SAN FRANCISCO,94110,+1 415-297-7007,,,,,,NOT_FOUND
14TH STREET RESTAURANT,NEW YORK,10003,+1 212-260-2122,,,,,,NOT_FOUND
INDO CHINE VEGETARIAN RESTAURANT,SAN FRANCISCO,94110,+1 415-701-4157,,,,,,NOT_FOUND
TRADER JOE S,NEW YORK,10003,+1 212-529-6326,@traderjoes,3.6M,2466,Your Neighborhood Grocery Store,linkinprofile.com/traderjoes,FOUND
MARIO HOT DOGS,SAN FRANCISCO,94110,,,,,,,NOT_FOUND
T J MARKET NUMBER ONE,SAN FRANCISCO,94110,+1 415-647-5036,,,,,,NOT_FOUND
OMG PIZZA,SAN FRANCISCO,94110,,,,,,,NOT_FOUND
EL BUEN COMER,SAN FRANCISCO,94110,+1 415-817-4158,,,,,,NOT_FOUND
MOXY HOTELS,NEW YORK,10003,+1 212-288-6699,,,,,,NOT_CHECKED
NOODLE FLOWER,NEW YORK,10003,+1 718-445-3155,,,,,,NOT_FOUND
OYE MANAGUA,SAN FRANCISCO,94110,+1 415-821-2702,,,,,,NOT_FOUND
Valencia Farmer s Market,SAN FRANCISCO,94110,+1 415-282-6863,,,,,,NOT_FOUND
MISSION ANNEX CHILD CARE,SAN FRANCISCO,94110,+1 415-695-5844,,,,,,NOT_CHECKED
STICKY S FINGER JOINT,NEW YORK,10003,+1 929-356-9284,,,,,,NOT_FOUND
DOWNTOWN BAKERY II MEXICAN FOOD,NEW YORK,10003,,,,,,,NOT_FOUND
CRAFTSMAN AND WOLVES,SAN FRANCISCO,94110,+1 415-913-7713,@craftsmanwolves,54.7K,2435,Coffee pastries confections - SF & Mountain View,craftsman-wolves.square.site,FOUND
LA PIZZA FRESCA LIMITED,NEW YORK,10003,+1 212-598-2125,,,,,,NOT_FOUND
Bean NYC,NEW YORK,10003,+1 212-510-7714,,,,,,NOT_FOUND
DOCS CLOCK,SAN FRANCISCO,94110,+1 415-824-4158,,,,,,NOT_FOUND
BITEUNITE,SAN FRANCISCO,94110,,,,,,,NOT_FOUND
BROKEN COCONUT,NEW YORK,10003,,,,,,,NOT_FOUND
THE BLACK ANT,NEW YORK,10003,+1 212-598-0300,,,,,,NOT_FOUND
LUPULANDIA BREWERY,SAN FRANCISCO,94110,+1 415-757-0487,,,,,,NOT_FOUND
00 + CO,NEW YORK,10003,,,,,,,NOT_FOUND
P & P CANDY AND GROCERY INC,NEW YORK,10003,,,,,,,NOT_CHECKED
EXPRESS THALI,NEW YORK,10003,,,,,,,NOT_FOUND
SANDWICH PLACE THE,SAN FRANCISCO,94110,+1 415-431-4154,,,,,,NOT_FOUND
ICONIC HAND ROLLS,NEW YORK,10003,+1 646-476-6464,,,,,,NOT_FOUND
ROCCAPULCO,SAN FRANCISCO,94110,+1 415-648-4156,,,,,,NOT_FOUND
D B G B KITCHEN & BAR,NEW YORK,10003,+1 212-933-2129,,,,,,NOT_FOUND
CORBET AND CONLEY,NEW YORK,10003,+1 212-982-2129,,,,,,NOT_FOUND
D B A,NEW YORK,10003,+1 212-475-5097,,,,,,NOT_FOUND
PADMA S CURRY LEAF,NEW YORK,10003,,,,,,,NOT_FOUND
SALT BAE,NEW YORK,10003,+1 212-308-2110,@nusr_et,51.9M,3041,Nusr-Et Saltbae - We are better than best,thenresidencesibiza.com,FOUND
BRAZEN FOX,NEW YORK,10003,+1 914-358-9143,,,,,,NOT_FOUND
Philz Coffee,SAN FRANCISCO,94110,+1 415-875-9370,@philzcoffee,95.3K,2600,Bettering Days One Cup at a Time,linktree.com/philzcoffee,FOUND
ROAST KITCHEN,New York,10003,+1 212-776-4053,,,,,,NOT_FOUND
WISE SONS DELI,SAN FRAN,94110,+1 415-787-3354,@wisesons,31.8K,2112,Wise Sons Jewish Delicatessen - SF best bagel,linktr.ee/wisesonsdeli,FOUND
Punto Rojo Bakery and Restaurant,New York,10003,+1 212-777-0362,,,,,,NOT_FOUND
PIERRE LOTI,NEW YORK,10003,+1 212-777-5684,,,,,,NOT_FOUND
AMOUN KITCHEN & LOUNGE,NEW YORK,10003,+1 646-861-6468,,,,,,NOT_FOUND
ASIENTO,SAN FRANCISCO,94110,+1 415-829-3375,,,,,,NOT_FOUND
Porsena,NEW YORK,10003,+1 212-228-4923,,,,,,NOT_FOUND
LAS PALMERAS RESTAURANT,SAN FRANCISCO,94110,+1 415-285-4152,,,,,,NOT_FOUND
MR. POLLO,SAN FRANCISCO,94110,+1 860-912-8609,,,,,,NOT_FOUND
HUNAN BISTRO,NEW YORK,10003,+1 212-388-9855,,,,,,NOT_FOUND
Bagel Bob s,NEW YORK,10003,+1 212-533-2627,,,,,,NOT_FOUND
W K MARKET,SAN FRANCISCO,94110,+1 415-285-4152,,,,,,NOT_FOUND
CAFE ST. JORGE,SAN FRANCISCO,94110,+1 415-814-4158,,,,,,NOT_FOUND
LE CAFE COFFEE,NEW YORK,10003,+1 212-388-9111,,,,,,NOT_FOUND
Crepe House,San Fran,94110,,,,,,,NOT_FOUND
CHINA STAR,NEW YORK,10003,+1 212-777-3888,,,,,,NOT_FOUND
Gemma Restaurant,NEW YORK,10003,+1 212-505-7300,,,,,,NOT_FOUND
SUBWAY #47348,NEW YORK,10003,+1 212-777-2127,,,,,,NOT_FOUND
PAULS DA BURGER JOINT,NEW YORK,10003,+1 212-529-2125,,,,,,NOT_FOUND
CON SABOR A MEXICO,SAN FRANCISCO,94110,+1 415-495-4154,,,,,,NOT_FOUND
KATI ROLL COMPANY,NEW YORK,10003,+1 212-730-2127,,,,,,NOT_FOUND
MISSION COMMUNITY MARKET,SAN FRANCISCO,94110,+1 415-891-4158,,,,,,NOT_FOUND
